|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Elektrik Tüketimi (Mwh)|Ölçüm bazında|2000|5005813.0|
||2001|4894592.0|
||2002|4958375.0|
||2003|5571286.0|
||2004|6501395.0|
||2005|6606337.0|
||2006|7320030.0|
||2007|8135070.0|
||2008|8607650.0|
||2009|8611587.0|
||2010|9565913.0|
||2011|1.0259178E7|
||2012|1.0628635E7|
||2013|1.068136E7|
||2014|1.0976586E7|
||2015|1.1462769E7|
||2016|1.166923E7|
||2017|1.3522865E7|
||2018|1.5113058E7|
||2019|1.4965675E7|
||2020|1.5175998E7|
||2021|1.6150054E7|
||2022|1.659287E7|
||2023|1.7246705E7|
||||
