|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Kişi Başına Toplam Elektrik Tüketimi (Kwh)|1. (Mesken)|2000|454.0|
||2001|454.0|
||2002|441.0|
||2003|467.0|
||2004|506.0|
||2005|542.0|
||2006|567.0|
||2007|611.0|
||2008|636.0|
||2009|639.0|
||2010|659.0|
||2011|660.0|
||2012|681.0|
||2013|691.0|
||2014|674.0|
||2015|592.0|
||2016|705.0|
||2017|712.0|
||2018|718.0|
||2019|719.0|
||2020|765.0|
||2021|756.0|
||2022|760.0|
||2023|833.0|
|3. (Sanayi)|2000|304.0|
||2001|265.0|
||2002|271.0|
||2003|284.0|
||2004|385.0|
||2005|341.0|
||2006|399.0|
||2007|446.0|
||2008|468.0|
||2009|404.0|
||2010|519.0|
||2011|604.0|
||2012|585.0|
||2013|533.0|
||2014|520.0|
||2015|572.0|
||2016|503.0|
||2017|669.0|
||2018|838.0|
||2019|830.0|
||2020|926.0|
||2021|1049.0|
||2022|1041.0|
||2023|1047.0|
||||
