|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Net Okullaşma Oranı (%)|Ortaokul|2012|96.27|
||2013|97.32|
||2014|96.68|
||2015|96.08|
||2016|96.64|
||2017|94.98|
||2018|94.05|
||2019|96.87|
||2020|90.45|
||2021|91.56|
||2022|93.12|
||2023|93.82|
|Ortaöğretim|2007|77.99|
||2008|75.89|
||2009|82.78|
||2010|82.99|
||2011|82.93|
||2012|84.54|
||2013|88.83|
||2014|88.93|
||2015|88.78|
||2016|92.26|
||2017|92.84|
||2018|93.89|
||2019|93.58|
||2020|95.79|
||2021|96.17|
||2022|97.21|
||2023|94.26|
|İlkokul|2012|98.86|
||2013|99.76|
||2014|95.72|
||2015|93.47|
||2016|90.86|
||2017|90.98|
||2018|91.86|
||2019|94.73|
||2020|93.78|
||2021|93.9|
||2022|94.51|
||2023|95.47|
|İlköğretim|2012|99.39|
||2013|99.98|
||2014|97.32|
||2015|95.95|
||2016|96.19|
||2017|95.71|
||2018|96.25|
||2019|97.73|
||2020|94.04|
||2021|94.68|
||2022|95.81|
||2023|96.78|
||||
