|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Öğretmen Başına Düşen Öğrenci Sayısı|Genel Ortaöğretim|2012|15.0|
||2013|14.0|
||2014|13.0|
||2015|10.0|
||2016|11.0|
||2017|10.0|
||2018|10.0|
||2019|10.0|
||2020|12.0|
||2021|11.0|
||2022|10.0|
||2023|11.0|
|Mesleki Ve Teknik Ortaöğretim|2012|12.0|
||2013|11.0|
||2014|11.0|
||2015|11.0|
||2016|11.0|
||2017|10.0|
||2018|9.0|
||2019|9.0|
||2020|9.0|
||2021|9.0|
||2022|9.0|
||2023|9.0|
|Ortaokul|2012|19.0|
||2013|17.0|
||2014|15.0|
||2015|14.0|
||2016|15.0|
||2017|14.0|
||2018|14.0|
||2019|14.0|
||2020|13.0|
||2021|13.0|
||2022|13.0|
||2023|13.0|
|Ortaöğretim|2012|13.0|
||2013|13.0|
||2014|12.0|
||2015|11.0|
||2016|11.0|
||2017|10.0|
||2018|9.0|
||2019|9.0|
||2020|11.0|
||2021|10.0|
||2022|10.0|
||2023|10.0|
|İlkokul|2012|17.0|
||2013|17.0|
||2014|17.0|
||2015|16.0|
||2016|16.0|
||2017|16.0|
||2018|16.0|
||2019|16.0|
||2020|16.0|
||2021|16.0|
||2022|18.0|
||2023|17.0|
||||
