|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Okul Başına Düşen Öğrenci Sayısı|Genel Ortaöğretim|2012|565.0|
||2013|549.0|
||2014|476.0|
||2015|312.0|
||2016|340.0|
||2017|315.0|
||2018|283.0|
||2019|270.0|
||2020|323.0|
||2021|328.0|
||2022|316.0|
||2023|327.0|
|Mesleki Ve Teknik Ortaöğretim|2012|317.0|
||2013|314.0|
||2014|544.0|
||2015|524.0|
||2016|446.0|
||2017|421.0|
||2018|361.0|
||2019|346.0|
||2020|371.0|
||2021|364.0|
||2022|367.0|
||2023|366.0|
|Ortaokul|2012|492.0|
||2013|453.0|
||2014|428.0|
||2015|401.0|
||2016|425.0|
||2017|406.0|
||2018|403.0|
||2019|377.0|
||2020|357.0|
||2021|362.0|
||2022|373.0|
||2023|375.0|
|Ortaöğretim|2012|416.0|
||2013|398.0|
||2014|510.0|
||2015|397.0|
||2016|387.0|
||2017|359.0|
||2018|312.0|
||2019|296.0|
||2020|340.0|
||2021|341.0|
||2022|334.0|
||2023|341.0|
|İlkokul|2012|369.0|
||2013|383.0|
||2014|390.0|
||2015|386.0|
||2016|367.0|
||2017|369.0|
||2018|375.0|
||2019|364.0|
||2020|360.0|
||2021|371.0|
||2022|384.0|
||2023|377.0|
||||
