|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Okuma Yazma Oranı (%)|Okuma Yazma Bilen|2008|94.75|94.14|94.77|89.54|94.13|93.7|97.55|84.87|95.78|92.11|89.84||91.19|95.49|96.37|90.02|94.92|93.19|94.96|96.43|96.48|97.13|83.79|97.88|92.72|87.66|
||2009|95.08|94.54|95.25|88.51|94.46|94.05|97.79|83.13|96.21|91.99|89.56||91.48|95.75|96.61|90.49|95.33|93.55|95.21|96.87|96.7|97.34|82.22|98.03|93.37|88.18|
||2010|95.98|95.37|95.8|88.81|95.11|95.06|98.13|88.19|96.98|92.36|91.32||92.09|96.51|97.11|91.59|95.93|94.11|95.9|97.35|97.15|97.7|81.78|98.26|94.22|90.26|
||2011|96.93|95.87|97.59|90.43|96.14|95.96|98.3|88.93|97.47|94.61|92.92||93.77|96.93|97.34|92.53|96.26|95.56|96.41|97.66|97.35|97.94|82.29|98.45|94.73|92.43|
||2012|97.24|96.21|97.83|91.62|96.82|96.14|98.4|91.23|97.71|94.87|93.12||94.24|97.41|97.48|93.14|96.5|96.27|96.73|97.85|97.47|98.1|84.23|98.58|95.37|93.1|
||2013|97.55|96.51|98.04|93.41|96.94|96.28|98.53|91.7|97.85|95.05|94.62||94.55|97.55|97.63|93.63|96.71|96.42|96.93|98.01|97.61|97.98|85.04|98.77|95.65|93.58|
||2014|97.61|96.64|98.06|93.18|96.93|96.26|98.56|91.62|97.91|95.03|93.56||94.74|97.59|97.66|93.51|96.82|96.46|96.9|98.06|97.63|98.02|84.78|98.78|95.74|93.6|
||2015|97.73|96.77|98.14|93.29|97.16|96.33|98.58|91.68|97.95|95.12|93.24||94.86|97.73|97.67|93.5|96.85|96.59|96.97|98.05|97.64|98.07|84.82|98.79|95.86|93.75|
||2016|97.88|97.03|98.15|93.62|97.47|96.62|98.73|91.77|98.11|95.29|93.51||95.05|97.8|97.85|93.91|97.09|96.86|97.19|98.21|97.85|98.25|85.52|98.89|96.13|94.07|
||2017|98.07|97.28|98.34|93.86|97.61|96.87|98.85|92.04|98.3|95.49|93.69|97.92|95.22||97.96|94.25|97.24|97.07|97.35|98.34|97.96|98.4|87.6|98.98|96.37|94.37|
||2018|98.19|97.48|98.76|95.72|97.83|97.05|98.94|93.92|98.5|96.42|95.85|98.04|95.49||98.09|95.35|97.45|97.24|97.52|98.45|98.11|98.53|92.94|99.08|96.53|94.65|
||2019|98.31|97.75|98.76|95.59|98.05|97.3|99.02|93.3|98.65|96.29|94.84|98.22|95.6||98.22|95.17|97.61|97.45|97.69|98.58|98.25|98.67|90.41|99.15|96.81|94.89|
||2020|98.5|97.91|98.83|95.14|98.18|97.47|99.09|93.46|98.73|96.45|94.95|98.37|95.87||98.35|95.45|97.77|97.66|97.85|98.68|98.38|98.77|90.32|99.21|97.04|95.18|
||2021|98.49|98.04|98.85|95.03|98.28|97.51|99.05|93.6|98.69|96.59|94.87|98.44|96.14||98.4|95.76|97.86|97.71|97.92|98.67|98.44|98.77|90.66|99.22|97.19|95.41|
||2022|98.47|98.11|98.89|94.86|98.28|97.52|99.02|93.65|98.72|96.73|94.97|98.41|96.44||98.4|96.0|97.91|97.75|97.95|98.64|98.42|98.73|91.49|99.21|97.35|95.55|
||2023|98.41|98.12|99.06|96.2|98.28|97.5|99.03|95.02|98.79|97.25|96.06|98.46|96.59||98.42|96.63|97.96|97.91|97.98|98.58|98.43|98.73|94.69|99.23|97.52|95.72|
||2024|98.47|98.21|99.06|95.57|98.35|97.65|99.06|94.85|98.93|97.11|95.59|98.47|96.68||98.5|96.62|98.06|98.05|98.05|98.66|98.53|98.81|93.66|99.26|97.64|95.91|
|Okuma Yazma Bilmeyen|2008|5.25|5.86|5.23|10.46|5.87|6.3|2.45|15.13|4.22|7.89|10.16||8.81|4.51|3.63|9.98|5.08|6.81|5.04|3.57|3.52|2.87|16.21|2.12|7.28|12.34|
||2009|4.92|5.46|4.75|11.49|5.54|5.95|2.21|16.87|3.79|8.01|10.44||8.52|4.25|3.39|9.51|4.67|6.45|4.79|3.13|3.3|2.66|17.78|1.97|6.63|11.82|
||2010|4.02|4.63|4.2|11.19|4.89|4.94|1.87|11.81|3.02|7.64|8.68||7.91|3.49|2.89|8.41|4.07|5.89|4.1|2.65|2.85|2.3|18.22|1.74|5.78|9.74|
||2011|3.07|4.13|2.41|9.57|3.86|4.04|1.7|11.07|2.53|5.39|7.08||6.23|3.07|2.66|7.47|3.74|4.44|3.59|2.34|2.65|2.06|17.71|1.55|5.27|7.57|
||2012|2.76|3.79|2.17|8.38|3.18|3.86|1.6|8.77|2.29|5.13|6.88||5.76|2.59|2.52|6.86|3.5|3.73|3.27|2.15|2.53|1.9|15.77|1.42|4.63|6.9|
||2013|2.45|3.49|1.96|6.59|3.06|3.72|1.47|8.3|2.15|4.95|5.38||5.45|2.45|2.37|6.37|3.29|3.58|3.07|1.99|2.39|2.02|14.96|1.23|4.35|6.42|
||2014|2.39|3.36|1.94|6.82|3.07|3.74|1.44|8.38|2.09|4.97|6.44||5.26|2.41|2.34|6.49|3.18|3.54|3.1|1.94|2.37|1.98|15.22|1.22|4.26|6.4|
||2015|2.27|3.23|1.86|6.71|2.84|3.67|1.42|8.32|2.05|4.88|6.76||5.14|2.27|2.33|6.5|3.15|3.41|3.03|1.95|2.36|1.93|15.18|1.21|4.14|6.25|
||2016|2.12|2.97|1.85|6.38|2.53|3.38|1.27|8.23|1.89|4.71|6.49||4.95|2.2|2.15|6.09|2.91|3.14|2.81|1.79|2.15|1.75|14.48|1.11|3.87|5.93|
||2017|1.93|2.72|1.66|6.14|2.39|3.13|1.15|7.96|1.7|4.51|6.31|2.08|4.78||2.04|5.75|2.76|2.93|2.65|1.66|2.04|1.6|12.4|1.02|3.63|5.63|
||2018|1.81|2.52|1.24|4.28|2.17|2.95|1.06|6.08|1.5|3.58|4.15|1.96|4.51||1.91|4.65|2.55|2.76|2.48|1.55|1.89|1.47|7.06|0.92|3.47|5.35|
||2019|1.69|2.25|1.24|4.41|1.95|2.7|0.98|6.7|1.35|3.71|5.16|1.78|4.4||1.78|4.83|2.39|2.55|2.31|1.42|1.75|1.33|9.59|0.85|3.19|5.11|
||2020|1.5|2.09|1.17|4.86|1.82|2.53|0.91|6.54|1.27|3.55|5.05|1.63|4.13||1.65|4.55|2.23|2.34|2.15|1.32|1.62|1.23|9.68|0.79|2.96|4.82|
||2021|1.51|1.96|1.15|4.97|1.72|2.49|0.95|6.4|1.31|3.41|5.13|1.56|3.86||1.6|4.24|2.14|2.29|2.08|1.33|1.56|1.23|9.34|0.78|2.81|4.59|
||2022|1.53|1.89|1.11|5.14|1.72|2.48|0.98|6.35|1.28|3.27|5.03|1.59|3.56||1.6|4.0|2.09|2.25|2.05|1.36|1.58|1.27|8.51|0.79|2.65|4.45|
||2023|1.59|1.88|0.94|3.8|1.72|2.5|0.97|4.98|1.21|2.75|3.94|1.54|3.41||1.58|3.37|2.04|2.09|2.02|1.42|1.57|1.27|5.31|0.77|2.48|4.28|
||2024|1.53|1.79|0.94|4.43|1.65|2.35|0.94|5.15|1.07|2.89|4.41|1.53|3.32||1.5|3.38|1.94|1.95|1.95|1.34|1.47|1.19|6.34|0.74|2.36|4.09|
|||||||||||||||||||||||||||||
