|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
İlçelere Göre Doğum Sayısı|Ölçüm bazında|2014|576.0|5827.0|145.0|303.0|650.0|581.0|8594.0|39.0|2014.0|67.0|575.0||156.0|913.0|13090.0|263.0|9267.0|345.0|1866.0|2504.0|8547.0|8961.0|66.0|9553.0|1331.0|426.0|
||2015|582.0|5884.0|125.0|238.0|642.0|582.0|8973.0|27.0|1970.0|66.0|428.0||142.0|846.0|13449.0|240.0|9439.0|341.0|2004.0|2510.0|8675.0|9039.0|57.0|9307.0|1343.0|459.0|
||2016|555.0|5695.0|119.0|229.0|624.0|547.0|9098.0|37.0|2057.0|59.0|384.0||117.0|901.0|13324.0|220.0|9405.0|354.0|1830.0|2458.0|8358.0|9234.0|51.0|8962.0|1351.0|419.0|
||2017|577.0|5822.0|114.0|183.0|668.0|566.0|9044.0|36.0|1915.0|60.0|399.0|868.0|127.0||13172.0|224.0|9657.0|329.0|1885.0|2484.0|8355.0|9149.0|57.0|8459.0|1319.0|433.0|
||2018|591.0|5444.0|103.0|222.0|636.0|584.0|8615.0|25.0|1920.0|58.0|389.0|929.0|119.0||12840.0|223.0|9484.0|316.0|1728.0|2380.0|8082.0|8874.0|83.0|7943.0|1270.0|412.0|
||2019|554.0|5412.0|121.0|309.0|573.0|500.0|8055.0|45.0|1797.0|75.0|436.0|861.0|116.0||11850.0|258.0|8552.0|269.0|1657.0|2230.0|7626.0|8305.0|91.0|7442.0|1165.0|385.0|
||2020|571.0|5210.0|121.0|285.0|524.0|487.0|7280.0|29.0|1642.0|60.0|324.0|881.0|100.0||10791.0|220.0|7892.0|244.0|1618.0|2141.0|7487.0|7614.0|76.0|6764.0|1110.0|336.0|
||2021|492.0|5108.0|92.0|205.0|503.0|452.0|6765.0|26.0|1656.0|51.0|243.0|759.0|73.0||9845.0|210.0|7742.0|219.0|1540.0|2037.0|7057.0|7381.0|53.0|6221.0|1090.0|394.0|
||2022|553.0|4930.0|89.0|167.0|491.0|450.0|6507.0|23.0|1548.0|39.0|214.0|810.0|85.0||9531.0|170.0|7529.0|237.0|1507.0|2008.0|7038.0|6849.0|51.0|5832.0|1056.0|306.0|
||2023|554.0|4777.0|72.0|141.0|430.0|448.0|5949.0|17.0|1516.0|43.0|218.0|770.0|96.0||8936.0|179.0|7110.0|204.0|1466.0|1845.0|6613.0|6305.0|63.0|5361.0|1011.0|280.0|
||2024|585.0|4556.0|97.0|192.0|436.0|411.0|5722.0|15.0|1478.0|52.0|244.0|780.0|86.0||8647.0|185.0|6713.0|181.0|1419.0|1741.0|6356.0|5778.0|87.0|5167.0|991.0|279.0|
|||||||||||||||||||||||||||||
