|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Arıcılık Faaliyeti Yapan Işletme Sayısı|Ölçüm bazında|2013|134.0|1.0|80.0|14.0|91.0|43.0|3.0|10.0|47.0|50.0|32.0||65.0|36.0|12.0|140.0|30.0|476.0|32.0|1.0|29.0|11.0|180.0|9.0|20.0|10.0|
||2014|134.0|1.0|83.0|15.0|52.0|42.0|10.0|9.0|44.0|50.0|33.0||68.0|40.0|12.0|150.0|36.0|477.0|30.0|1.0|30.0|11.0|222.0|9.0|20.0|23.0|
||2015|115.0|2.0|84.0|18.0|65.0|43.0|9.0|7.0|41.0|51.0|8.0||86.0|38.0|14.0|160.0|40.0|485.0|31.0|1.0|35.0|12.0|225.0|5.0|25.0|30.0|
||2016|115.0|2.0|28.0|17.0|130.0|67.0|8.0|6.0|32.0|50.0|9.0||88.0|22.0|14.0|185.0|42.0|475.0|29.0|1.0|36.0|12.0|222.0|6.0|30.0|50.0|
||2017|103.0|2.0|22.0|17.0|85.0|68.0|8.0|6.0|30.0|50.0|11.0|18.0|50.0||19.0|195.0|42.0|470.0|35.0|1.0|37.0|7.0|223.0|8.0|40.0|51.0|
||2018|92.0|2.0|26.0|19.0|66.0|65.0|13.0|5.0|27.0|65.0|12.0|22.0|53.0||19.0|175.0|25.0|190.0|49.0|1.0|19.0|12.0|221.0|8.0|61.0|49.0|
||2019|74.0|2.0|28.0|18.0|66.0|60.0|19.0|5.0|27.0|59.0|11.0|22.0|47.0||16.0|180.0|17.0|59.0|74.0|1.0|15.0|15.0|288.0|4.0|62.0|40.0|
||2020|25.0|3.0|22.0|21.0|64.0|67.0|37.0|0.0|25.0|64.0|13.0|28.0|74.0||19.0|102.0|10.0|65.0|75.0|2.0|18.0|18.0|280.0|7.0|68.0|50.0|
||2021|26.0|10.0|45.0|18.0|88.0|70.0|33.0|0.0|27.0|67.0|16.0|32.0|76.0||21.0|140.0|21.0|62.0|78.0|9.0|30.0|27.0|304.0|8.0|67.0|51.0|
||2022|35.0|16.0|51.0|20.0|112.0|75.0|34.0|0.0|30.0|65.0|15.0|35.0|103.0||24.0|152.0|30.0|85.0|70.0|9.0|45.0|43.0|295.0|9.0|104.0|50.0|
||2023|37.0|13.0|50.0|24.0|136.0|77.0|32.0|0.0|40.0|77.0|19.0|37.0|128.0||34.0|169.0|47.0|118.0|72.0|16.0|40.0|51.0|290.0|13.0|107.0|55.0|
||2024|36.0|13.0|70.0|31.0|172.0|100.0|42.0|0.0|38.0|90.0|23.0|39.0|131.0||35.0|139.0|42.0|147.0|82.0|9.0|41.0|51.0|183.0|24.0|116.0|60.0|
|||||||||||||||||||||||||||||
