|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Canlı Hayvan Sayısı (Baş)|01.41.10.01.01. (Süt Sığırları, Canlı (Saf Kültür), 2 Ve Daha Yukarı Yaşta (İnek))|2004|320.0|250.0|3250.0|430.0|200.0|683.0|114.0|50.0|1785.0||400.0||300.0|262.0|350.0|245.0|350.0|20.0|1860.0||655.0|480.0||300.0|1363.0|0.0|
||2005|320.0|250.0|3450.0|572.0|400.0|822.0|115.0|50.0|1280.0|400.0|400.0||300.0|250.0|340.0|360.0|360.0|18.0|4440.0||1876.0|500.0||50.0|1280.0|500.0|
||2006|370.0|250.0|3450.0|620.0|400.0|1025.0|110.0|50.0|1030.0|300.0|400.0||300.0|320.0|330.0|80.0|350.0|17.0|4450.0||1108.0|470.0||50.0|1250.0|540.0|
||2007|400.0|260.0|2880.0|680.0|1364.0|1072.0|115.0|321.0|395.0|1090.0|2015.0||475.0|350.0|355.0|300.0|361.0|22.0|4090.0||1086.0|512.0|154.0|425.0|3150.0|550.0|
||2008|300.0|280.0|2860.0|270.0|1360.0|1075.0|120.0|315.0|422.0|1100.0|2020.0||250.0|650.0|395.0|560.0|385.0|16.0|2604.0||1077.0|578.0|60.0|460.0|4200.0|555.0|
||2009|305.0|150.0|4000.0|275.0|1231.0|1230.0|15.0|319.0|1383.0|2295.0|1200.0||239.0|706.0|30.0|450.0|300.0|15.0|3182.0|450.0|2052.0|120.0|50.0|220.0|4010.0|560.0|
||2010|370.0|310.0|3300.0|271.0|249.0|1350.0|20.0|245.0|1490.0|2280.0|1150.0||444.0|700.0|25.0|800.0|350.0|14.0|4160.0|290.0|2400.0|300.0|40.0|320.0|4110.0|620.0|
||2011|500.0|350.0|3850.0|485.0|300.0|1230.0|40.0|235.0|2070.0|2500.0|1142.0||425.0|720.0|0.0|700.0|1483.0|13.0|5195.0|750.0|2366.0|310.0|30.0|170.0|5010.0|690.0|
||2012|791.0|350.0|4103.0|445.0|700.0|1450.0|70.0|270.0|2050.0|2500.0|1229.0||796.0|1250.0|90.0|518.0|1500.0|11.0|5300.0|500.0|2626.0|607.0|33.0|400.0|4008.0|751.0|
||2013|725.0|450.0|5390.0|465.0|650.0|1550.0|50.0|175.0|1992.0|2000.0|1188.0||787.0|1739.0|81.0|584.0|1513.0|20.0|5250.0|400.0|2727.0|686.0|36.0|540.0|4000.0|592.0|
||2014|1302.0|500.0|2974.0|414.0|867.0|1686.0|150.0|202.0|2360.0|2450.0|1325.0||871.0|1400.0|120.0|610.0|1239.0|26.0|5330.0|700.0|2980.0|177.0|15.0|662.0|4200.0|880.0|
||2015|1325.0|620.0|3000.0|667.0|842.0|1710.0|490.0|195.0|2362.0|2574.0|1535.0||738.0|1550.0|124.0|787.0|1263.0|25.0|5900.0|705.0|3215.0|163.0|20.0|772.0|4950.0|950.0|
||2016|1949.0|630.0|3150.0|857.0|921.0|1830.0|480.0|192.0|2385.0|2580.0|1675.0||733.0|1790.0|102.0|915.0|1350.0|24.0|5950.0|690.0|3300.0|245.0|18.0|670.0|4900.0|960.0|
||2017|1798.0|615.0|3938.0|2046.0|1405.0|1961.0|354.0|238.0|2450.0|1950.0|2500.0|1935.0|1284.0||319.0|2604.0|1318.0|23.0|6000.0|713.0|3570.0|208.0|180.0|970.0|4910.0|1843.0|
||2018|2278.0|410.0|3630.0|2095.0|819.0|2834.0|322.0|324.0|2540.0|2650.0|2400.0|1928.0|2352.0||316.0|3595.0|1340.0|14.0|6720.0|336.0|3535.0|300.0|250.0|750.0|2912.0|1750.0|
||2019|2682.0|355.0|3500.0|7296.0|820.0|3141.0|318.0|306.0|2875.0|2563.0|2900.0|1890.0|1253.0||375.0|3413.0|1140.0|9.0|6000.0|341.0|4489.0|306.0|300.0|860.0|3199.0|1570.0|
||2020|2850.0|350.0|3500.0|7030.0|783.0|3525.0|247.0|270.0|3340.0|2355.0|5400.0|2100.0|1254.0||350.0|3523.0|1792.0|9.0|6100.0|480.0|5342.0|279.0|350.0|850.0|9677.0|1260.0|
||2021|2916.0|410.0|4500.0|6820.0|782.0|2900.0|258.0|260.0|4310.0|2387.0|5290.0|2400.0|952.0||280.0|3592.0|1908.0|12.0|7100.0|412.0|5892.0|255.0|360.0|800.0|11402.0|1050.0|
||2022|3514.0|355.0|4350.0|6965.0|752.0|3000.0|250.0|194.0|3440.0|2000.0|3120.0|2585.0|852.0||281.0|3080.0|1985.0|16.0|6000.0|375.0|4487.0|178.0|1200.0|875.0|10487.0|1368.0|
||2023|2893.0|538.0|4116.0|4712.0|731.0|3252.0|226.0|198.0|3307.0|2992.0|3369.0|2147.0|879.0||258.0|2795.0|2298.0|759.0|7865.0|377.0|4213.0|182.0|1145.0|971.0|10632.0|1185.0|
||2024|2343.0|832.0|3850.0|4740.0|1388.0|2695.0|199.0|169.0|3610.0|2860.0|2780.0|1986.0|803.0||153.0|2705.0|2348.0|2592.0|8384.0|351.0|7164.0|143.0|1278.0|987.0|10990.0|1172.0|
|01.41.10.01.02. (Süt Sığırları, Canlı (Saf Kültür), 1 - 2 Yaş Arası Dişi (Düve))|2004|80.0|200.0|1125.0|270.0|60.0|320.0|60.0|20.0|372.0||200.0||150.0|115.0|152.0|35.0|150.0|12.0|570.0||350.0|300.0||48.0|313.0|0.0|
||2005|80.0|220.0|1220.0|220.0|150.0|365.0|70.0|20.0|550.0|130.0|200.0||150.0|120.0|150.0|140.0|140.0|10.0|800.0||1100.0|300.0||70.0|310.0|200.0|
||2006|100.0|220.0|1220.0|170.0|280.0|485.0|70.0|20.0|450.0|200.0|200.0||200.0|155.0|140.0|50.0|130.0|8.0|800.0||869.0|290.0||60.0|305.0|210.0|
||2007|150.0|230.0|900.0|160.0|344.0|503.0|60.0|35.0|181.0|680.0|370.0||128.0|170.0|150.0|350.0|142.0|16.0|850.0||756.0|285.0|28.0|70.0|2300.0|215.0|
||2008|155.0|260.0|890.0|110.0|340.0|530.0|25.0|42.0|191.0|675.0|375.0||102.0|190.0|180.0|310.0|158.0|0.0|813.0||745.0|319.0|9.0|95.0|2800.0|120.0|
||2009|100.0|150.0|800.0|115.0|308.0|343.0|10.0|40.0|1045.0|441.0|295.0||95.0|230.0|50.0|400.0|350.0|1.0|680.0|200.0|1015.0|80.0|25.0|280.0|2690.0|122.0|
||2010|200.0|200.0|810.0|112.0|149.0|368.0|15.0|45.0|1255.0|450.0|290.0||300.0|150.0|110.0|250.0|210.0|1.0|900.0|210.0|1400.0|100.0|60.0|310.0|2830.0|297.0|
||2011|100.0|250.0|840.0|186.0|200.0|278.0|30.0|30.0|1820.0|250.0|311.0||441.0|120.0|120.0|125.0|576.0|2.0|1050.0|500.0|1090.0|272.0|55.0|60.0|3375.0|321.0|
||2012|655.0|250.0|950.0|187.0|800.0|498.0|40.0|75.0|730.0|500.0|335.0||198.0|130.0|120.0|258.0|584.0|3.0|960.0|250.0|1221.0|141.0|49.0|60.0|2700.0|300.0|
||2013|125.0|350.0|1350.0|209.0|950.0|508.0|26.0|65.0|750.0|1000.0|340.0||200.0|250.0|125.0|302.0|602.0|10.0|1250.0|200.0|1230.0|167.0|46.0|150.0|2704.0|213.0|
||2014|615.0|400.0|1007.0|230.0|729.0|643.0|300.0|77.0|890.0|481.0|590.0||262.0|220.0|85.0|325.0|700.0|10.0|1310.0|200.0|1250.0|60.0|20.0|210.0|3025.0|280.0|
||2015|623.0|530.0|800.0|241.0|712.0|693.0|75.0|69.0|892.0|539.0|710.0||420.0|219.0|84.0|351.0|707.0|8.0|1515.0|205.0|1650.0|53.0|22.0|210.0|3700.0|300.0|
||2016|642.0|520.0|870.0|200.0|687.0|610.0|100.0|76.0|992.0|540.0|860.0||520.0|310.0|65.0|435.0|758.0|7.0|1400.0|200.0|1718.0|60.0|24.0|213.0|3750.0|310.0|
||2017|1191.0|510.0|1202.0|1254.0|484.0|992.0|99.0|108.0|980.0|610.0|1116.0|1380.0|905.0||135.0|1073.0|770.0|0.0|1600.0|280.0|1750.0|175.0|110.0|413.0|3800.0|700.0|
