|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Diğer Kümes Hayvanları Sayısı|01.47.12. (Hindi, Canlı)|2004|0.0|225.0|2350.0|0.0|0.0|330.0|115.0|0.0|1550.0|0.0|0.0||2000.0|2500.0|300.0|2200.0|300.0|200.0|11000.0||215.0|325.0|3700.0|225.0|8200.0|1000.0|
||2005||220.0|2150.0|||308.0|110.0|650.0||517.0|7846.0||2000.0|620.0|280.0|2200.0|310.0|1292.0|12000.0||182.0|320.0|1500.0|220.0|552.0|1750.0|
||2006||210.0|2100.0|1200.0||400.0|110.0|650.0|750.0|500.0|7800.0||373.0|640.0|260.0|460.0|300.0|550.0|12000.0||210.0|310.0|1500.0|200.0|482.0|1500.0|
||2007|0.0|88.0|2050.0|1500.0|0.0|92.0|22.0|0.0|0.0|400.0|5000.0||374.0|450.0|66.0|0.0|40.0|400.0|3000.0||238.0|69.0|450.0|31.0|350.0|1450.0|
||2008|0.0|95.0|1850.0|780.0|0.0|120.0|19.0|100.0|0.0|18.0|5010.0||373.0|1235.0|63.0|200.0|33.0|1105.0|8000.0|0.0|245.0|65.0|400.0|35.0|350.0|1550.0|
||2009|0.0|0.0|563.0|700.0|0.0|70.0|0.0|110.0|0.0|20.0|5000.0||374.0|1250.0|0.0|100.0|0.0|850.0|5000.0|500.0|265.0|0.0|250.0|0.0|350.0|1555.0|
||2010|0.0|0.0|850.0|704.0|0.0|85.0|0.0|70.0|0.0|125.0|4275.0||647.0|1080.0|0.0|100.0|0.0|620.0|3800.0|0.0|310.0|0.0|2000.0|0.0|600.0|1423.0|
||2011|300.0|270.0|1020.0|680.0||155.0|100.0|65.0|240.0|500.0|4200.0||628.0|1100.0|40.0|150.0|174.0|610.0|1800.0|0.0|350.0|400.0|1500.0|0.0|400.0|1590.0|
||2012|400.0|270.0|730.0|650.0|0.0|160.0|200.0|55.0|280.0|500.0|2565.0||684.0|1150.0|40.0|160.0|160.0|595.0|800.0||358.0|300.0|1000.0||400.0|500.0|
||2013|400.0|270.0|370.0|0.0|0.0|248.0|195.0|15.0|310.0|260.0|2272.0||428.0|2590.0|35.0|200.0|167.0|970.0|805.0|0.0|394.0|920.0|1000.0|0.0|400.0|647.0|
||2014|420.0|250.0|390.0|121.0|0.0|260.0|300.0|5.0|310.0|400.0|2335.0||576.0|1610.0|144.0|250.0|175.0|750.0|800.0|10.0|415.0|350.0|1200.0|0.0|1000.0|800.0|
||2015|415.0|230.0|380.0|120.0|0.0|271.0|600.0|10.0|305.0|390.0|2370.0||0.0|1670.0|140.0|230.0|220.0|700.0|805.0|50.0|510.0|250.0|2000.0|15.0|1100.0|820.0|
||2016|447.0|240.0|100.0|196.0|0.0|128.0|750.0|90.0|120.0|350.0|2380.0||0.0|1550.0|245.0|110.0|240.0|400.0|850.0|65.0|550.0|0.0|2125.0|20.0|1200.0|830.0|
||2017|469.0|250.0|42.0|170.0|0.0|161.0|520.0|95.0|1745.0|278.0|2750.0|1600.0|0.0||230.0|125.0|203.0|375.0|800.0|80.0|500.0|480.0|2200.0|30.0|1100.0|850.0|
||2018|516.0|230.0|66.0|195.0|0.0|163.0|700.0|94.0|1760.0|258.0|3250.0|1600.0|0.0||225.0|53.0|280.0|275.0|500.0|80.0|450.0|750.0|2100.0|43.0|1150.0|885.0|
||2019|536.0|230.0|80.0|210.0|0.0|175.0|750.0|35.0|1705.0|288.0|3000.0|1700.0|240.0||270.0|173.0|180.0|350.0|550.0|120.0|400.0|300.0|2015.0|50.0|1025.0|880.0|
||2020|534.0|229.0|150.0|2480.0|0.0|220.0|480.0|36.0|1460.0|276.0|4520.0|1077.0|240.0||350.0|99.0|210.0|300.0|500.0|175.0|445.0|850.0|2020.0|751.0|980.0|816.0|
||2021|556.0|230.0|155.0|2375.0|0.0|400.0|370.0|35.0|1690.0|353.0|4900.0|880.0|240.0||320.0|149.0|217.0|270.0|500.0|170.0|440.0|700.0|2100.0|800.0|220.0|600.0|
||2022|580.0|230.0|105.0|1012.0|0.0|475.0|240.0|30.0|1672.0|350.0|4800.0|750.0|0.0||315.0|63.0|174.0|250.0|1000.0|162.0|260.0|350.0|2000.0|850.0|210.0|601.0|
||2023|609.0|230.0|99.0|1024.0|0.0|500.0|250.0|20.0|1805.0|330.0|4750.0|1051.0|0.0||285.0|80.0|170.0|200.0|900.0|190.0|50.0|610.0|2020.0|800.0|205.0|578.0|
||2024|640.0|230.0|85.0|1115.0|0.0|100.0|194.0|19.0|1880.0|340.0|4850.0|1023.0|0.0||150.0|75.0|162.0|220.0|1120.0|197.0|175.0|285.0|1950.0|420.0|158.0|590.0|
|01.47.13. (Kaz, Canlı)|2004|0.0|17.0|0.0|0.0|0.0|195.0|0.0|0.0|1055.0|0.0|0.0||400.0|1000.0|15.0|320.0|32.0|100.0|2600.0||35.0|0.0|300.0|40.0|1800.0|1200.0|
||2005||16.0|303.0|||182.0||250.0|||3391.0||400.0|282.0|20.0|320.0|30.0|46.0|1500.0||193.0||100.0|40.0|474.0|1000.0|
||2006||15.0|290.0|370.0||115.0||250.0|450.0|200.0|3300.0||313.0|282.0|20.0|120.0|26.0|10.0|1500.0||95.0||300.0|35.0|424.0|900.0|
||2007|0.0|32.0|110.0|359.0|0.0|42.0|800.0|20.0|0.0|50.0|3000.0||314.0|250.0|38.0|0.0|75.0|20.0|150.0||285.0|0.0|0.0|57.0|500.0|899.0|
||2008|0.0|28.0|80.0|150.0|0.0|40.0|18.0|80.0|0.0|0.0|2890.0||313.0|765.0|39.0|0.0|80.0|28.0|2100.0|0.0|276.0|0.0|0.0|53.0|500.0|903.0|
||2009|0.0|0.0|251.0|161.0|0.0|33.0|0.0|70.0|0.0|0.0|2880.0||314.0|755.0|0.0|0.0|0.0|25.0|1000.0|100.0|310.0|0.0|0.0|0.0|500.0|905.0|
||2010|0.0|0.0|225.0|165.0|0.0|45.0|0.0|45.0|0.0|0.0|2800.0||313.0|680.0|0.0|0.0|0.0|20.0|600.0|0.0|280.0|0.0|0.0|0.0|750.0|887.0|
||2011|50.0|250.0|205.0|153.0||65.0|50.0|35.0|45.0||2750.0||303.0|650.0|10.0||110.0|22.0|600.0|0.0|280.0|255.0||0.0|800.0|970.0|
||2012|130.0|280.0|190.0|156.0|0.0|74.0|50.0|25.0|55.0||216.0||365.0|675.0|10.0||120.0|20.0|400.0||285.0|200.0|50.0||800.0|1000.0|
||2013|130.0|280.0|85.0|38.0|0.0|141.0|48.0|26.0|140.0|140.0|1090.0||215.0|1090.0|15.0|0.0|118.0|10.0|390.0|0.0|370.0|190.0|50.0|0.0|800.0|1075.0|
||2014|140.0|300.0|89.0|116.0|0.0|166.0|100.0|45.0|135.0|400.0|1060.0||200.0|1213.0|119.0|0.0|135.0|20.0|400.0|5.0|390.0|80.0|60.0|0.0|600.0|3000.0|
||2015|145.0|250.0|90.0|114.0|0.0|185.0|90.0|30.0|145.0|410.0|1050.0||0.0|1180.0|125.0|0.0|160.0|50.0|410.0|60.0|281.0|75.0|160.0|10.0|620.0|3400.0|
||2016|161.0|230.0|89.0|152.0|0.0|79.0|110.0|30.0|70.0|415.0|1060.0||0.0|1050.0|124.0|35.0|190.0|65.0|430.0|85.0|277.0|350.0|190.0|20.0|650.0|3410.0|
||2017|169.0|240.0|68.0|235.0|0.0|913.0|110.0|37.0|1255.0|264.0|1350.0|900.0|0.0||135.0|1700.0|193.0|60.0|400.0|100.0|290.0|150.0|200.0|50.0|850.0|3500.0|
||2018|186.0|210.0|88.0|422.0|0.0|765.0|120.0|37.0|1353.0|210.0|4750.0|900.0|0.0||230.0|80.0|280.0|142.0|300.0|320.0|350.0|350.0|250.0|62.0|875.0|3565.0|
||2019|194.0|210.0|95.0|956.0|0.0|830.0|350.0|40.0|1225.0|233.0|4000.0|920.0|1000.0||245.0|136.0|250.0|320.0|350.0|350.0|360.0|800.0|275.0|60.0|876.0|3400.0|
||2020|192.0|211.0|100.0|4760.0|0.0|780.0|530.0|41.0|1365.0|495.0|4800.0|917.0|1000.0||410.0|56.0|250.0|250.0|300.0|805.0|372.0|600.0|280.0|510.0|865.0|3182.0|
