|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Et Tavuğu Sayısı|Ölçüm bazında|2004|20000.0|0.0|84000.0|30000.0|1782000.0|111500.0|0.0|0.0|108000.0|60000.0|0.0||35000.0|750000.0|157500.0|820000.0|30000.0|400000.0|350000.0||118500.0|75000.0|11000.0|0.0|40000.0|7500.0|
||2005|79000.0||82500.0|66000.0|280000.0|133500.0||||200000.0|5000.0||35000.0|544000.0|127500.0|450000.0|33000.0|600000.0|1850000.0||137500.0|75000.0|11000.0||62000.0|9000.0|
||2006|40000.0||112500.0|300000.0|85000.0|85000.0|||31250.0|130000.0|5000.0||10000.0|530000.0|27000.0|377000.0|32000.0|450000.0|1950000.0||669000.0|70000.0|8250.0||62000.0|8500.0|
||2007|39500.0|0.0|107500.0|320000.0|175000.0|68070.0|0.0|0.0|150000.0|125000.0|5000.0||25000.0|632000.0|27000.0|303000.0|32000.0|620000.0|3000000.0||272500.0|0.0|12000.0|0.0|62000.0|7500.0|
||2008|0.0|0.0|144500.0|1000000.0|200000.0|64000.0|0.0|0.0|148000.0|126000.0|4575.0||30000.0|562000.0|14000.0|345000.0|0.0|625000.0|2400000.0|0.0|165000.0|41000.0|10000.0|0.0|62000.0|8510.0|
||2009|0.0|0.0|138000.0|950000.0|329000.0|71000.0|0.0|0.0|50000.0|137480.0|0.0||30000.0|560500.0|26450.0|338000.0|40300.0|625000.0|375000.0|75000.0|137500.0|45050.0|10000.0|0.0|0.0|8511.0|
||2010|12000.0|0.0|132500.0|950400.0|330000.0|73500.0|0.0|0.0|50000.0|137000.0|0.0||85000.0|450000.0|0.0|342000.0|30000.0|680000.0|460000.0|70900.0|123000.0|34000.0|11000.0|0.0|20000.0|7622.0|
||2011|15000.0||119000.0|830000.0|330000.0|75000.0|||210000.0|145000.0|||103000.0|291000.0|0.0|343000.0|53555.0|793500.0|404000.0|30000.0|123000.0|0.0|11500.0|0.0|0.0|0.0|
||2012|16000.0||624000.0|780000.0|410000.0|76200.0|0.0||270000.0|145000.0|||132880.0|389620.0||400000.0|36160.0|851000.0|520000.0|0.0|123000.0||11500.0||||
||2013|16000.0|0.0|664000.0|120000.0|792000.0|19500.0|0.0|0.0|270300.0|184000.0|4438.0||132880.0|390000.0|0.0|415835.0|0.0|758500.0|581000.0|0.0|123000.0|1200.0|10000.0|0.0|0.0|0.0|
||2014|15600.0||788200.0|100000.0|1320000.0|162890.0|0.0||285050.0|320000.0|4400.0||97000.0|813000.0||435000.0|28300.0|950000.0|1150000.0|0.0|131000.0|0.0|10000.0|0.0|||
||2015|15600.0||1389000.0|0.0|2444000.0|126543.0|0.0||254000.0|373500.0|4450.0||97000.0|814000.0||217700.0|0.0|845500.0|3700000.0|0.0|115000.0|0.0|10400.0|0.0|200000.0||
||2016|21172.0||1527000.0|50000.0|2500000.0|50500.0|0.0||0.0|370000.0|2000.0||20000.0|815500.0||126000.0|0.0|745350.0|2500000.0|0.0|105000.0|0.0|0.0|0.0|180000.0||
||2017|14500.0||1023000.0|0.0|1350000.0|50000.0|0.0||84000.0|415977.0|20000.0|431000.0|0.0|||89500.0|0.0|695345.0|2500000.0|0.0|105000.0|0.0|0.0|0.0|200000.0||
||2018|0.0||1180000.0|0.0|1375000.0|18000.0|0.0||245000.0|410977.0|75000.0|427000.0|0.0|||78000.0|0.0|581385.0|2500000.0|0.0|80000.0|0.0|0.0|0.0|200001.0||
||2019|0.0||1235000.0|0.0|1350000.0|6000.0|0.0||37036.0|460000.0|25000.0|408624.0|29500.0||0.0|70000.0|0.0|605087.0|2500000.0|0.0|80000.0|0.0|0.0|0.0|190000.0||
||2020|0.0|0.0|1485000.0|0.0|1443000.0|0.0|0.0|0.0|41350.0|430000.0|80000.0|433915.0|29500.0||0.0|156500.0|0.0|1782547.0|3656500.0|0.0|80100.0|0.0|0.0|0.0|225000.0|0.0|
||2021|0.0|0.0|1700000.0|0.0|1428000.0|0.0|0.0|0.0|250380.0|420000.0|0.0|174564.0|78860.0||0.0|166000.0|0.0|1648558.0|3671000.0|0.0|80000.0|0.0|0.0|0.0|250000.0|0.0|
||2022|0.0|0.0|2120000.0|80000.0|1478000.0|0.0|0.0|0.0|279375.0|460000.0|100000.0|441288.0|0.0||0.0|208500.0|0.0|1531050.0|3630726.0|0.0|80000.0|0.0|0.0|0.0|192400.0|0.0|
||2023|0.0|0.0|1345733.0|94050.0|1291474.0|0.0|0.0|0.0|304188.0|283231.0|99209.0|321718.0|0.0||0.0|153470.0|0.0|1541892.0|3440820.0|0.0|58955.0|0.0|0.0|0.0|77075.0|0.0|
||2024|0.0|0.0|1475286.0|94100.0|1315483.0|0.0|0.0|0.0|292564.0|284000.0|0.0|260668.0|0.0||0.0|205000.0|0.0|1838883.0|3627196.0|0.0|120000.0|0.0|0.0|0.0|150000.0|0.0|
|||||||||||||||||||||||||||||
