|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Tarım Alanı|Nadas Alanı - Dekar|2004|10700.0|9940.0|105930.0|641440.0|171000.0|90000.0|5240.0|30000.0|268000.0|29250.0|649000.0||136250.0|24000.0|7850.0|49350.0|16730.0|209830.0|340840.0||55070.0|30020.0|16360.0|3760.0|36200.0|271250.0|
||2005|13370.0|9970.0|109980.0|640970.0|171000.0|90000.0|5240.0|30000.0|260500.0|24250.0|650000.0||136250.0|24000.0|7850.0|49350.0|17180.0|211170.0|350900.0||50100.0|29980.0|17520.0|3760.0|36200.0|269000.0|
||2006|13420.0|9900.0|109508.0|533530.0|170858.0|91405.0|4700.0|30000.0|260500.0|24250.0|650000.0||136000.0|20670.0|12500.0|49000.0|19230.0|209995.0|351020.0||49672.0|29100.0|17270.0|2510.0|35900.0|270000.0|
||2007|13420.0|9900.0|110322.0|563200.0|169050.0|91405.0|4700.0|30000.0|261900.0|9350.0|700000.0||134000.0|23630.0|12000.0|45000.0|19230.0|214874.0|353585.0||48794.0|29000.0|17270.0|2500.0|62600.0|312666.0|
||2008|15078.0|9900.0|107302.0|623200.0|169050.0|91405.0|4700.0|30000.0|261900.0|9350.0|744550.0||139978.0|24218.0|12000.0|45000.0|19230.0|214602.0|352224.0||58254.0|29000.0|17545.0|2500.0|62600.0|273475.0|
||2009|16078.0|8900.0|102162.0|573200.0|169050.0|90000.0|4600.0|31000.0|316337.0|9350.0|554650.0||140000.0|23370.0|7000.0|45000.0|21230.0|212222.0|302166.0|7000.0|140584.0|27500.0|17543.0|32650.0|51600.0|272926.0|
||2010|15078.0|10900.0|94856.0|573000.0|103000.0|107270.0|4600.0|52392.0|293135.0|100000.0|471400.0||140000.0|48820.0|7000.0|0.0|21200.0|212193.0|343833.0|10000.0|117259.0|27000.0|14231.0|29500.0|56000.0|293900.0|
||2011|20748.0|10000.0|69988.0|573000.0|83800.0|107690.0|3500.0|52392.0|295644.0|100000.0|473400.0||140000.0|48820.0|5000.0|43400.0|18480.0|211125.0|348196.0|15000.0|106827.0|27000.0|11531.0|30500.0|99000.0|293000.0|
||2012|19796.0|9850.0|70877.0|642529.0|80870.0|127850.0|3200.0|54468.0|287264.0|100000.0|467290.0||145000.0|47737.0|5000.0|33400.0|19145.0|210530.0|379566.0|19779.0|73878.0|20750.0|11504.0|26344.0|95000.0|298858.0|
||2013|21920.0|11650.0|78665.0|708042.0|107068.0|137848.0|3337.0|56394.0|322885.0|100682.0|503082.0||151058.0|43023.0|4170.0|44837.0|20963.0|188523.0|274465.0|23532.0|54102.0|27755.0|11975.0|24982.0|94983.0|305503.0|
||2014|26418.0|30343.0|87705.0|660030.0|103314.0|141215.0|10407.0|57259.0|308871.0|98963.0|554119.0||200930.0|42253.0|4969.0|43548.0|15751.0|186820.0|346513.0|7092.0|48133.0|22543.0|9675.0|23756.0|94342.0|240307.0|
||2015|26658.0|26003.0|95892.0|559957.0|107696.0|141434.0|11636.0|56781.0|315969.0|119040.0|578345.0||187347.0|44062.0|5204.0|45072.0|12741.0|201349.0|298944.0|4257.0|49940.0|27829.0|10082.0|27640.0|101563.0|212962.0|
||2016|22328.0|33025.0|99433.0|586368.0|99367.0|145985.0|557.0|53769.0|326379.0|118446.0|585718.0||194041.0|50267.0|4432.0|23917.0|4734.0|189710.0|230765.0|2213.0|45397.0|23906.0|9870.0|28442.0|146673.0|149652.0|
||2017|21480.0|28636.0|86555.0|638800.0|108066.0|145035.0|550.0|57864.0|310500.0|119946.0|585590.0|64708.0|194041.0||4264.0|25000.0|14131.0|185512.0|223997.0|2213.0|43721.0|28900.0|9540.0|23000.0|132905.0|146402.0|
||2018|2480.0|18385.0|74465.0|671600.0|123795.0|138649.0|1000.0|52600.0|305482.0|120246.0|581050.0|64708.0|183584.0||5062.0|34145.0|6726.0|184628.0|236400.0|2400.0|35044.0|25630.0|9540.0|20992.0|132905.0|77236.0|
||2019|3951.0|17548.0|84562.0|415000.0|122795.0|125123.0|890.0|50415.0|294639.0|120276.0|585590.0|64413.0|155369.0||5062.0|38863.0|7828.0|178048.0|379003.0|2400.0|37323.0|28770.0|9062.0|23000.0|121112.0|65603.0|
||2020|3176.0|29006.0|67100.0|447268.0|127140.0|122723.0|342.0|20800.0|157913.0|93796.0|586174.0|55587.0|175189.0||6073.0|41096.0|6818.0|181180.0|387506.0|1751.0|48606.0|18777.0|9565.0|31276.0|74880.0|66149.0|
||2021|3053.0|27528.0|63032.0|519128.0|114929.0|119401.0|455.0|22569.0|207145.0|85000.0|423300.0|48327.0|168562.0||5389.0|34150.0|8011.0|206827.0|340484.0|1684.0|46737.0|23440.0|9165.0|24058.0|70000.0|70405.0|
||2022|2995.0|25081.0|57578.0|508267.0|110500.0|118991.0|950.0|22900.0|210253.0|85000.0|423300.0|43631.0|165000.0||4350.0|28320.0|7927.0|207093.0|330243.0|1244.0|45000.0|18800.0|9010.0|23055.0|63179.0|70500.0|
||2023|1975.0|22550.0|35537.0|505676.0|90500.0|114270.0|313.0|24812.0|225285.0|82600.0|411320.0|43390.0|148478.0||6394.0|27072.0|5554.0|207571.0|341000.0|1078.0|41572.0|21700.0|9160.0|19890.0|77154.0|66000.0|
||2024|2865.0|26859.0|47794.0|421310.0|91000.0|112829.0|1370.0|25007.0|215407.0|82600.0|247940.0|43473.0|144743.0||3502.0|25929.0|8028.0|206604.0|338950.0|1053.0|36000.0|18303.0|9002.0|16533.0|75712.0|61500.0|
|||||||||||||||||||||||||||||
