|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Örtüaltı Tarım Alanı|Dekar|2004|7.0|1.0|5.0|0.0|14.0|12.0|1.0|4.0|10.0|6.0|8.0||9.0|15.0|1.0|7.0|0.0|17.0|7.0||14.0|1.0|5.0|0.0|7.0|10.0|
||2005|7.0|1.0|4.0|1.0|14.0|12.0|1.0|5.0|10.0|6.0|8.0||9.0|15.0|1.0|7.0|0.0|17.0|6.0||16.0|1.0|5.0|0.0|7.0|10.0|
||2006|7.0|1.0|2.0|1.0|2.0|11.0|1.0|5.0|10.0|6.0|8.0||9.0|15.0|1.0|3.0|0.0|17.0|6.0||16.0|1.0|5.0|0.0|22.0|0.0|
||2007|7.0|1.0|0.0|1.0|0.0|13.0|1.0|3.0|10.0|6.0|8.0||9.0|15.0|1.0|3.0|0.0|17.0|6.0||16.0|1.0|5.0|0.0|18.0|0.0|
||2008|7.0|1.0|0.0|1.0|0.0|13.0|1.0|2.0|10.0|7.0|8.0||9.0|15.0|1.0|3.0|0.0|17.0|6.0||16.0|1.0|0.0|0.0|17.0|0.0|
||2009|5.0|0.0|0.0|1.0|0.0|13.0|0.0|2.0|10.0|0.0|8.0||9.0|15.0|0.0|3.0|0.0|17.0|6.0|0.0|7.0|0.0|0.0|0.0|17.0|0.0|
||2010|7.0|0.0|0.0|0.0|0.0|13.0|0.0|2.0|10.0|0.0|3.0||9.0|15.0|0.0|3.0|0.0|40.0|6.0|0.0|7.0|0.0|0.0|0.0|0.0|0.0|
||2011|5.0|0.0|0.0|0.0|0.0|13.0|0.0|2.0|10.0|0.0|3.0||9.0|14.2|0.0|3.0|10.0|85.0|6.0|0.0|0.0|50.9|0.0|0.0|0.0|0.0|
||2012|7.0|0.0|0.0|0.0|1.0|4.0|0.0|2.0|10.0|0.0|3.0||9.0|14.2|0.0|6.0|11.0|85.0|6.0|0.0|6.5|46.9|0.0|0.0|1.6|0.0|
||2013|8.0|0.0|0.0|0.0|11.0|4.0|0.0|2.0|5.0|0.0|3.0||8.0|14.2|0.0|6.0|30.0|85.0|6.0|0.0|10.5|46.9|0.0|0.0|29.6|0.0|
||2014|8.0|0.0|0.0|0.0|11.0|6.0|0.0|2.0|8.0|5.0|3.0||9.0|18.5|0.0|6.0|21.5|121.0|6.0|0.0|12.5|42.2|1.0|10.0|65.5|0.0|
||2015|21.0|0.0|0.0|0.0|11.0|9.0|0.0|2.0|8.0|5.0|1.0||9.0|18.5|0.0|6.0|20.5|200.0|6.0|0.0|22.5|68.2|1.0|10.0|64.0|0.0|
||2016|21.0|0.0|0.0|5.0|11.0|6.0|0.0|2.0|8.0|6.0|0.0||9.0|18.5|0.0|6.0|20.5|201.0|6.0|0.0|12.3|68.2|1.0|10.0|85.0|0.0|
||2017|21.0|0.0|0.0|5.0|14.0|12.0|0.0|2.0|8.0|6.0|0.0|13.5|9.0||0.0|6.0|21.5|213.0|6.0|0.0|12.0|68.2|1.0|10.0|135.0|0.0|
||2018|21.0|0.0|0.0|5.0|45.0|12.0|0.0|2.0|8.0|6.0|0.0|14.0|9.0||0.0|6.0|13.0|215.0|6.0|0.0|7.0|61.0|1.0|10.0|135.0|0.0|
||2019|21.0|0.0|0.0|7.0|45.0|7.0|0.0|2.0|8.0|6.0|0.0|14.0|9.0||0.0|6.0|12.0|215.0|6.0|0.0|7.0|61.0|1.0|10.0|135.0|0.0|
||2020|21.0|0.0|0.0|0.0|40.0|7.0|0.0|0.0|8.0|6.0|0.0|31.5|22.0||0.0|6.0|12.0|215.0|7.0|0.0|7.0|50.0|0.0|10.0|90.0|0.0|
||2021|21.0|0.0|0.0|2.0|40.0|5.0|20.0|0.0|8.0|6.0|0.0|32.5|22.0||0.0|0.0|12.0|215.0|8.0|0.0|7.0|51.0|0.0|10.0|90.0|0.0|
||2022|25.0|0.0|0.0|0.0|40.0|5.0|20.0|0.0|8.0|6.0|0.0|30.5|22.0||0.0|0.0|12.0|215.0|8.0|0.0|7.0|51.0|0.0|10.0|90.0|0.0|
||2023|25.0|0.0|0.0|0.0|40.0|5.0|20.0|0.0|3.0|6.0|0.0|31.5|22.0||0.0|0.0|12.0|215.0|8.0|0.0|7.0|51.0|0.0|10.0|93.0|0.0|
||2024|31.0|0.0|0.0|0.0|40.0|6.0|20.0|0.0|3.0|6.0|0.0|18.5|22.0||0.0|0.0|12.0|200.0|8.0|0.0|39.0|46.5|0.0|10.0|93.0|0.0|
|||||||||||||||||||||||||||||
