|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
Tahıllar Ve Diğer Bitkisel Ürünler|Üretim Miktarı ve 01.11.11.00.00. (Durum Buğdayı) - Ton|2004||48.0|||8157.0|1759.0|8.0||10996.0||9596.0|||7317.0|48.0||16.0|4398.0|2250.0||7677.0|48.0|1583.0|8.0||12783.0|
||2005|19647.0|65.0|||7422.0|1819.0|11.0||10478.0||13098.0|||8434.0|65.0||22.0|3275.0|12188.0||6636.0|65.0|1297.0|11.0||14108.0|
||2006||42.0|||4781.0|1350.0|14.0||1350.0||8437.0|||3487.0|42.0||17.0|1519.0|5062.0||4902.0|42.0|1002.0|14.0||15187.0|
||2007|1100.0|33.0|||825.0|693.0|11.0|825.0|577.0|1649.0|4948.0||1649.0|2969.0|33.0||13.0|1100.0|2199.0||2270.0|33.0|231.0|11.0||8412.0|
||2008|5758.0|38.0|||2418.0|864.0|13.0|640.0|896.0|1919.0|5758.0||3199.0|7837.0|38.0||15.0|1599.0|2943.0||5259.0|54.0|448.0|13.0||6141.0|
||2009|5911.0|64.0|||2758.0|1520.0|21.0|1689.0|6502.0|9852.0|9852.0||3659.0|8866.0|64.0||240.0|1773.0|3061.0|1126.0|5348.0|43.0|788.0|43.0||18014.0|
||2010|6821.0|49.0|||2387.0|1077.0|19.0|1137.0|7583.0|6464.0|8575.0||4223.0|10336.0|49.0||195.0|81.0|2767.0|909.0|2728.0|39.0|666.0|39.0||11683.0|
||2011|6562.0|2056.0||84.0|2373.0|1113.0||1132.0|9096.0|4849.0|9051.0||4299.0|9362.0|48.0||184.0|78.0|2830.0|785.0|5227.0|39.0|528.0|27.0||26998.0|
||2012|6000.0|1870.0|0.0|102.0|1738.0|632.0|0.0|883.0|5835.0|0.0|8080.0||3120.0|6595.0|42.0|0.0|74.0|72.0|3021.0|537.0|448.0|46.0|506.0|1980.0|2189.0|15837.0|
||2013|6222.0|1026.0||215.0|1750.0|541.0||1225.0|8797.0||7348.0||3149.0|7926.0|573.0|||54.0|3067.0|425.0|555.0|59.0|590.0|3506.0|2759.0|27578.0|
||2014|5734.0|2595.0||135.0|1204.0|440.0||824.0|6603.0||6152.0||2434.0|8256.0|261.0|||34.0|2331.0|401.0|229.0|573.0||3245.0|2591.0|14640.0|
||2015|5054.0|2066.0||250.0|2119.0|530.0||1406.0|10647.0||7376.0||3178.0|7861.0|503.0|||34.0|3739.0|477.0|291.0|681.0||3633.0|2170.0|25047.0|
||2016|4009.0|2512.0||219.0|1638.0|355.0||1152.0|9363.0||6740.0||3280.0|7809.0|391.0|||20.0|4958.0|500.0|301.0|2074.0|||55447.0|21238.0|
||2017|3885.0|2669.0||499.0|488.0|24.0||2689.0|7203.0||6771.0|7552.0|3123.0||513.0|||9.0|3776.0|412.0|285.0|1619.0|||24433.0|36642.0|
||2018|2763.0|2998.0||383.0|507.0|27.0||2608.0|7414.0||6834.0|7187.0|3239.0||477.0|||6.0|3290.0|461.0|295.0|2095.0|||22807.0|25328.0|
||2019|1866.0|2810.0||340.0|413.0|21.0||4377.0|7618.0||3709.0|6686.0|3417.0||507.0||||3018.0|638.0|376.0|1913.0|||23386.0|10326.0|
||2020|1754.0|2109.0||975.0|463.0|26.0||6277.0|9210.0||4626.0|7465.0|3479.0||528.0||||3778.0|618.0|409.0|3036.0|||23585.0|18321.0|
||2021|1255.0|1283.0||379.0|314.0|9.0||2185.0|3639.0||2637.0|2929.0|1316.0||614.0|||107.0|2280.0|533.0|154.0|2189.0|||12734.0|12936.0|
||2022|2752.0|1264.0||759.0|403.0|21.0||5651.0|5488.0||3815.0|5612.0|2359.0||537.0|||125.0|3128.0|867.0|271.0|2547.0|||15870.0|22562.0|
||2023|2139.0|1873.0|312.0|2269.0|550.0|145.0||5264.0|2888.0||4292.0|6306.0|2516.0||535.0|2852.0||163.0|3422.0|799.0|321.0|2686.0|||16460.0|24742.0|
||2024|2537.0|1268.0|297.0|2920.0|622.0|28.0||4603.0|11443.0||2980.0|5765.0|2721.0||966.0|2617.0||101.0|3680.0|773.0|259.0|3722.0|||17940.0|26203.0|
|||||||||||||||||||||||||||||
