|||Sütunlar|
Satırlar|||Ankara-6|
||||
||||
Trafiğe Kayıtlı Taşıtların Ortalama Yaşları|1. (Otomobil)|2020|12.9|
||2021|13.4|
||2022|13.9|
||2023|14.1|
||2024|14.2|
|2. (Minibüs)|2020|15.0|
||2021|15.6|
||2022|16.1|
||2023|16.1|
||2024|16.0|
|3. (Otobüs)|2020|11.2|
||2021|11.8|
||2022|12.4|
||2023|12.7|
||2024|12.8|
|4. (Kamyonet)|2020|10.8|
||2021|11.1|
||2022|11.5|
||2023|11.7|
||2024|11.9|
|5. (Kamyon)|2020|15.4|
||2021|15.8|
||2022|16.1|
||2023|16.1|
||2024|16.1|
|6. (Motosiklet)|2020|12.8|
||2021|12.2|
||2022|11.3|
||2023|9.2|
||2024|7.7|
|7. (Özel Amaçlı)|2020|11.7|
||2021|12.2|
||2022|12.9|
||2023|13.7|
||2024|14.1|
|9. (Traktör)|2020|23.8|
||2021|23.7|
||2022|23.6|
||2023|23.3|
||2024|23.2|
|Ölçüm bazında|2020|13.0|
||2021|13.4|
||2022|13.8|
||2023|13.9|
||2024|13.8|
||||
